,4KiB,THP,ET
Streamcluster,3139150846870,3081219622611,2974450332619
Astar,339288638423,339288638423,309934429488
Omnetpp,690231993601,650695825741,585326798189
BFS,497505526819,472096196620,411771003807
Canneal,5530753895972,4552515739705,3491407541881
XSBench,1391410858143,1073124164408,729570046168
BTree,3859021124585,2825619515798,1653263388605
SVM,4874583845824,3501954615024,2002088093283
Hashjoin,2223794759146,1315354082065,656991439801
Gups,5628812599125,2688524987112,934383166553
