,4KiB,THP,ET,ET-offline
Streamcluster,1759488157,9049,376667153,398887617
Astar,1120466123,7340,13221105,797592
Omnetpp,2367794815,16545,119218204,6221529
BFS,9922491259,1405040931,3798016,1862133050
Canneal,8407226215,2190453904,8795351,231527114
XSBench,6957954603,2059456695,49090549,1329447244
BTree,7237444383,2346503348,50505035,333218370
SVM,16864189762,5079046169,18574656,120454317
Hashjoin,8047805426,6940827992,3997551,33722035
Gups,33232758751,30812487967,497048,176967512
