,4KiB,THP,ET,ET-offline
BFS,9916375141,6529242392,2240888468,1865452709
Canneal,8119124426,2607260501,297163521,264043360
XSBench,6982694397,6725203425,3467024612,1343378125
BTree,7134875218,3131773554,1524002397,800901886
SVM,16861885981,13380441614,2659111686,1577775412
Hashjoin,8047372267,8041739029,5027058879,4919820697
