,4KiB,THP,ET,ET-offline
BFS,458368429013,464420112207,429749268815,415023329499
Canneal,4317867325819,3648240446114,3548834257717,3486257435312
XSBench,988195045603,1000603049196,850367736111,773085665474
BTree,2600221398510,1935928534129,1932079126877,1800106567636
SVM,3147984711807,2619365426958,2451685759530,2200048289167
Hashjoin,1154083064523,1155833359375,1035140650955,1006043630547
