,4KiB,THP,ET,ET-offline
BFS,9989865023,6118775315,2060219136,1865452709
Canneal,8446966292,2228737529,138678681,264043360
XSBench,6938179376,6901940453,3244533900,1622654917
BTree,7250775540,2529977549,884021416,398760732
SVM,15651536769,10088402657,2201631970,998839638
Hashjoin,8045028146,7472867763,3960383007,372018642
