,4KiB,THP,ET,ET-offline
BFS,460244150450,446566395832,424783460455,415023329499
Canneal,4311333757103,3582292909688,3501045817259,3486257435312
XSBench,988942713058,990040759131,835099444577,764097528558
BTree,2600294151000,1825378310547,1828616426955,1734935591786
SVM,3157675694520,2461795209192,2182289878013,2066943715059
Hashjoin,1164865670435,1027574590432,953375591108,706526899033
